Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DelayCategory,IsWeekend,TimeOfDay
2008,1,31,4,611.0,610.0,725.0,720,WN,548,74.0,70.0,58.0,5.0,1.0,ONT,SJC,333.0,3.0,13.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,Morning
2008,1,18,5,1946.0,1935.0,2007.0,2010,WN,3770,81.0,95.0,68.0,-3.0,11.0,TUS,LAX,451.0,6.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Evening
2008,1,17,4,1018.0,1020.0,1102.0,1110,WN,12,44.0,50.0,32.0,-8.0,-2.0,DAL,OKC,181.0,3.0,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Morning
2008,1,10,4,2057.0,2055.0,2304.0,2300,WN,74,67.0,65.0,48.0,4.0,2.0,MDW,SDF,271.0,5.0,14.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,Evening
2008,1,15,2,1825.0,,2031.0,2050,WN,2530,126.0,145.0,108.0,-19.0,0.0,SEA,LAS,866.0,5.0,13.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Evening
2008,1,12,6,1710.0,1715.0,1802.0,1810,WN,3321,52.0,55.0,42.0,-8.0,-5.0,HOU,SAT,192.0,3.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,Evening
2008,1,18,5,2123.0,2055.0,2334.0,2335,WN,877,131.0,160.0,118.0,-1.0,28.0,MCO,PVD,1073.0,4.0,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Evening
2008,1,16,3,720.0,710.0,840.0,855,WN,2706,140.0,165.0,124.0,-15.0,10.0,DEN,OAK,957.0,5.0,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Morning
2008,1,26,6,1359.0,1400.0,1458.0,1500,WN,279,59.0,60.0,49.0,-2.0,-1.0,HRL,AUS,273.0,4.0,6.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,Afternoon
2008,1,17,4,954.0,950.0,1149.0,1205,WN,272,235.0,255.0,224.0,-16.0,4.0,HOU,OAK,1642.0,2.0,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Morning
2008,1,28,1,1837.0,1840.0,2119.0,2135,WN,98,102.0,115.0,86.0,-16.0,-3.0,OAK,PHX,646.0,7.0,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Evening
2008,1,24,4,1056.0,1055.0,1328.0,1345,WN,458,152.0,170.0,137.0,-17.0,1.0,MCO,MHT,1142.0,2.0,13.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Morning
2008,1,30,3,1355.0,1355.0,1636.0,1700,WN,1330,101.0,125.0,87.0,-24.0,0.0,MDW,PHL,668.0,5.0,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Afternoon
2008,1,30,3,1427.0,1430.0,1605.0,1615,WN,2462,98.0,105.0,84.0,-10.0,-3.0,BHM,MDW ,570.0,6.0,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Afternoon
2008,1,9,3,1337.0,1340.0,1513.0,1530,XE,523,96.0,110.0,80.0,-17.0,-3.0,MSY,SAT,495.0,3.0,13.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Afternoon
2008,1,3,4,822.0,805.0,921.0,910,WN,2177,59.0,65.0,46.0,11.0,17.0,MDW,STL,251.0,3.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,Morning
2008,1,24,4,1210.0,1210.0,1339.0,1345,WN,1487,89.0,95.0,79.0,-6.0,0.0,DAL,STL,546.0,4.0,6.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Afternoon
2008,1,28,1,720.0,720.0,927.0,915,WN,1563,187.0,175.0,172.0,12.0,0.0,RSW,MDW,1105.0,5.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,Morning
2008,1,8,2,1113.0,1110.0,1336.0,1340,WN,31,83.0,90.0,74.0,-4.0,3.0,ELP,DAL,562.0,2.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Morning
2008,1,10,4,1501.0,1500.0,1659.0,1705,WN,2186,118.0,125.0,101.0,-6.0,1.0,PDX,LAS,762.0,9.0,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,Afternoon
